,NAME,index_right,RTE,DIR,KEYITEM,RTE_DESC,DIR_DESC,ROUTE,TYPE
297,GOOSE HOLLOW,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
333,CPO 9 HILLSBORO,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
408,CPO 1 CEDAR HILLS-CEDAR MILL S,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
421,GRESHAM - NORTHWEST,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
423,CENTRAL CITY,173,100,1,1001,MAX Blue Line,To Hillsboro,MAX,MAX
2,LLOYD DISTRICT COMMUNITY ASSN./SULLIVAN'S GULCH,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
103,SELLWOOD-MORELAND IMPROVEMENT LEAGUE,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
106,MILWAUKIE #1,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
204,WOODLAWN,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
206,IRVINGTON COMMUNITY ASSOCIATION,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
222,LLOYD DISTRICT COMMUNITY ASSOCIATION,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
223,SULLIVAN'S GULCH,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
229,GRANT PARK,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
230,KERNS,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
245,CONCORDIA,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
262,ALAMEDA,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
278,BROOKLYN ACTION CORPS,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
281,HOSFORD-ABERNETHY NEIGHBORHOOD DISTRICT ASSOCIATION,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
283,BUCKMAN COMMUNITY ASSOCIATION,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
354,NORTH MILWAUKIE INDUSTRIAL AREA,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
356,HISTORIC MILWAUKIE,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
404,SUNDERLAND ASSOCIATION OF NEIGHBORS,123,070,1,0701,12th/NE 33rd Ave,To Milwaukie,70,BUS
